NPD_WELL_BORE_NAME,DATE,production_age_months,oil_volume,on_stream_hours,oil_per_on_stream_hour,water_cut_pct,gas_oil_ratio,oil_volume_lag_1,oil_volume_lag_2,oil_volume_lag_3,oil_volume_recent_mean_3,target_next_month_oil_volume,is_latest_available_origin
15/9-F-14,2010-07-01,24,69600.25,742.41667,93.74823170390287,59.25439916261066,144.73416905830078,75309.81999999999,87809.28,73035.81,77573.11666666665,38413.73,False
15/9-F-14,2010-08-01,25,38413.73,425.1,90.3639849447189,59.50764773661719,144.30393195349683,69600.25,75309.81999999999,87809.28,61107.93333333332,55405.21,False
15/9-F-14,2010-09-01,26,55405.21,566.14999,97.86312987482346,54.553123264373504,149.09341901239975,38413.73,69600.25,75309.81999999999,54473.06333333332,78755.31,False
15/9-F-14,2010-10-01,27,78755.31,743.16666,105.97260915875854,56.17509193567549,150.51488693270335,55405.21,38413.73,69600.25,57524.74999999998,62555.48,False
15/9-F-14,2010-11-01,28,62555.48,683.41667,91.53344181668852,60.7865227280962,151.63097909247918,78755.31,55405.21,38413.73,65571.99999999999,63886.23,False
15/9-F-14,2010-12-01,29,63886.23,741.5,86.15809844908969,63.603124972048406,152.82103091699102,62555.48,78755.31,55405.21,68399.00666666665,61328.45,False
15/9-F-14,2011-01-01,30,61328.45,744.0,82.43071236559139,64.4465478047174,152.510040772268,63886.23,62555.48,78755.31,62590.05333333332,44066.31,False
15/9-F-14,2011-02-01,31,44066.31,561.5,78.47962600178094,64.33565363887728,154.99617712488293,61328.45,63886.23,62555.48,56426.99666666664,56709.96,False
15/9-F-14,2011-03-01,32,56709.96,732.5,77.41974061433447,67.44701842089054,154.00742603239362,44066.31,61328.45,63886.23,54034.90666666665,51814.24,False
15/9-F-14,2011-04-01,33,51814.24,717.66667,72.1981975281087,70.19906614127144,155.40598260246605,56709.96,44066.31,61328.45,50863.50333333332,51121.62,False
15/9-F-14,2011-05-01,34,51121.62,741.25,68.96677234401349,71.67047152540367,155.95999657287854,51814.24,56709.96,44066.31,53215.27333333332,31194.51,False
15/9-F-14,2011-06-01,35,31194.51,465.175,67.05973020906112,72.2600265639206,155.02446263781673,51121.62,51814.24,56709.96,44710.12333333332,20211.31,False
15/9-F-14,2011-07-01,36,20211.31,254.50833,79.41315712534832,67.51817321575277,151.62628894416048,31194.51,51121.62,51814.24,34175.81333333332,49730.28,False
15/9-F-14,2011-08-01,37,49730.28,652.325,76.23543479094009,68.65706719910908,154.46540598605114,20211.31,31194.51,51121.62,33712.03333333332,51053.13,False
15/9-F-14,2011-09-01,38,51053.13,708.0,72.1089406779661,72.40531549681927,157.118362380524,49730.28,20211.31,31194.51,40331.57333333331,21807.23,False
15/9-F-14,2011-10-01,39,21807.23,327.07499,66.6734867132458,72.14738853389292,156.20225035458424,51053.13,49730.28,20211.31,40863.54666666665,35043.89,False
15/9-F-14,2011-11-01,40,35043.89,464.30833,75.47547122404632,67.74021939370864,153.55708455882038,21807.23,51053.13,49730.28,35968.083333333314,34166.4,False
15/9-F-14,2011-12-01,41,34166.4,436.65001,78.24664884354405,68.54192044327696,150.52711787018825,35043.89,21807.23,51053.13,30339.173333333318,27309.23,False
15/9-F-14,2012-01-01,42,27309.23,363.81667,75.06316299360334,67.80620130639069,152.1887918480309,34166.4,35043.89,21807.23,32173.173333333318,36797.66,False
15/9-F-14,2012-02-01,43,36797.66,692.66666,53.12462996270096,60.03447245950247,152.14442793373274,27309.23,34166.4,35043.89,32757.76333333332,34745.590000000004,False
15/9-F-14,2012-03-01,44,34745.590000000004,740.83334,46.9006834924573,63.414719152587885,154.78766283721183,36797.66,27309.23,34166.4,32950.82666666665,36509.79,False
15/9-F-14,2012-04-01,45,36509.79,720.0,50.70804166666667,66.60314122543485,155.38927558882153,34745.590000000004,36797.66,27309.23,36017.679999999986,35051.96,False
15/9-F-14,2012-05-01,46,35051.96,741.08334,47.29827012438304,70.27713306459033,156.7783350774108,36509.79,34745.590000000004,36797.66,35435.779999999984,31665.55,False
15/9-F-14,2012-06-01,47,31665.55,711.16667,44.52620086934052,71.68920806707212,157.28169193334713,35051.96,36509.79,34745.590000000004,34409.099999999984,32960.7,False
15/9-F-14,2012-07-01,48,32960.7,744.0,44.30201612903225,71.81165936003221,157.1951590833933,31665.55,35051.96,36509.79,33226.069999999985,12689.84,False
15/9-F-14,2012-08-01,49,12689.84,288.625,43.966530965786056,72.38166624444253,155.57591900291888,32960.7,31665.55,35051.96,25772.029999999984,1655.0800000000002,False
15/9-F-14,2012-09-01,50,1655.0800000000002,30.78333,53.765463320569935,63.80970290404896,148.62183701089978,12689.84,32960.7,31665.55,15768.53999999998,33944.02,False
15/9-F-14,2012-10-01,51,33944.02,610.175,55.62997500717008,63.89141474851445,151.86939702486623,1655.0800000000002,12689.84,32960.7,16096.313333333315,34931.66,False
15/9-F-14,2012-11-01,52,34931.66,720.0,48.51619444444445,71.40459551254396,157.04049879106802,33944.02,1655.0800000000002,12689.84,23510.25333333332,30122.89,False
15/9-F-14,2012-12-01,53,30122.89,710.99999,42.36693449179936,75.63786557387259,161.16943095433408,34931.66,33944.02,1655.0800000000002,32999.52333333332,30184.8,False
15/9-F-14,2013-01-01,54,30184.8,744.0,40.57096774193548,76.7754259989076,160.17058917070844,30122.89,34931.66,33944.02,31746.449999999983,26595.53,False
15/9-F-14,2013-02-01,55,26595.53,667.91667,39.818634860543305,77.5973726230271,157.78335118721077,30184.8,30122.89,34931.66,28967.73999999998,18816.52,False
15/9-F-14,2013-03-01,56,18816.52,508.30167,37.01841074022047,78.96073180996662,147.9440826465255,26595.53,30184.8,30122.89,25198.949999999983,22875.42,False
15/9-F-14,2013-04-01,57,22875.42,557.33333,41.04441412107903,77.6444974516661,160.70773563938934,18816.52,26595.53,30184.8,22762.48999999998,27661.53,False
15/9-F-14,2013-05-01,58,27661.53,733.50001,37.71169682737973,79.84069931850611,163.6182857564278,22875.42,18816.52,26595.53,23117.82333333332,22298.26,False
